OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
242710,494446,US,MA,25.0,17.0,25017.0,1,C,North Billerica,0.0,-71.2809785784563,42.5933024962071
242719,494452,US,MA,25.0,21.0,25021.0,1,C,Wellesley Hills,0.0,-71.2770899988651,42.3103817823037
242745,494459,US,MA,25.0,21.0,25021.0,1,C,Wellesley Farms,0.0,-71.2724817456622,42.3219733786298
242829,494479,US,MA,25.0,21.0,25021.0,1,C,Foxboro,0.0,-71.2613464979965,42.0949580739538
242836,494481,US,MA,25.0,17.0,25017.0,1,C,Brandeis/Roberts,0.0,-71.2600184744945,42.3618752041638
242884,494495,US,MA,25.0,17.0,25017.0,1,C,Auburndale,0.0,-71.2506457878916,42.3457860767504
242988,494505,US,MA,25.0,21.0,25021.0,1,C,Needham Center,0.0,-71.2375592251557,42.2810901621641
243004,494510,US,MA,25.0,21.0,25021.0,1,C,Plimptonville,0.0,-71.2359899995084,42.1590199997269
243005,494511,US,MA,25.0,21.0,25021.0,1,C,Needham Heights,0.0,-71.2359624571618,42.2938455271809
243007,494512,US,MA,25.0,17.0,25017.0,1,C,Waltham,0.0,-71.2355454313591,42.3742663737886
243010,494514,US,MA,25.0,21.0,25021.0,1,C,Needham Junction,0.0,-71.2355072996719,42.273134528456
243017,497492,US,MA,25.0,17.0,25017.0,1,C,West Newton,0.0,-71.2305752056057,42.3478816338078
243128,494532,US,MA,25.0,21.0,25021.0,1,C,Windsor Gardens,0.0,-71.2208776073476,42.1709203883248
243186,494539,US,MA,25.0,21.0,25021.0,1,C,Hersey,0.0,-71.2160261514512,42.2755638606161
243258,494553,US,MA,25.0,17.0,25017.0,1,C,Newtonville,0.0,-71.2070012799499,42.3514149203951
243311,494559,US,MA,25.0,21.0,25021.0,1,C,Norwood Central,0.0,-71.2001274720071,42.1875072312213
243329,494565,US,MA,25.0,21.0,25021.0,1,C,Norwood Depot,0.0,-71.196740555688,42.1966817171536
243349,494570,US,MA,25.0,17.0,25017.0,1,C,Waverly,0.0,-71.1902750634829,42.3877663642763
243371,494580,US,MA,25.0,21.0,25021.0,1,C,Sharon,0.0,-71.1842356314373,42.1247755139711
243372,494581,US,MA,25.0,21.0,25021.0,1,C,Islington,0.0,-71.1840419870014,42.2209311812391
243409,494592,US,MA,25.0,17.0,25017.0,1,C,Wilmington,0.0,-71.1744452524818,42.5468193341888
